Year,2013,2014,2015,2016,2017,2018
Cash And Equivalents,"5,459.10","5,616.20","1,734.60","1,874.10","2,106.10","1,971.80"
Short Term Investments,363.4,261.1,125.6,126.9,55,136.6
Trading Asset Securities,81.6,110.3,99.5,147.1,147.7,-
Total Cash & ST Investments,"5,904.20","5,987.60","1,959.70","2,148.10","2,308.90","2,108.40"
,,,,,,
Accounts Receivable,"1,306.60","1,566.20","2,149.10","2,613.30","2,224.60","6,206.70"
Other Receivables,373.8,524.8,607.4,556.6,634.3,-
Notes Receivable,853.3,504.9,399,373.4,291.7,-
Total Receivables,"2,533.60","2,596.00","3,155.60","3,543.30","3,150.70","6,206.70"
,,,,,,
Inventory,"8,994.70","10,681.10","10,762.60","10,025.80","8,782.30","5,514.00"
Prepaid Exp.,63.6,60.9,61.8,88.3,118.6,-
Restricted Cash,105.6,119.8,158.2,212.9,167.7,9.6
Other Current Assets,355.7,"1,741.90",411.5,274.6,424.3,46
Total Current Assets,"17,957.40","21,187.40","16,509.50","16,293.00","14,952.40","13,884.70"
,,,,,,
"Gross Property, Plant & Equipment","5,891.70","4,750.80","5,122.10","5,116.00","4,801.20",-
Accumulated Depreciation,"-2,093.40","-2,077.80","-2,276.60","-2,470.50","-2,368.20",-
"Net Property, Plant & Equipment","3,798.30","2,673.00","2,845.50","2,645.50","2,433.00","2,372.60"
,,,,,,
Long-term Investments,"5,746.90","5,346.80","5,804.80","5,790.30","6,359.90","6,704.40"
Goodwill,59.3,60.7,59.3,59.3,59.3,-
Other Intangibles,19.1,34.6,33.4,60.6,54.3,129
Loans Receivable Long-Term,278.9,294.5,-,285.2,279,-
"Deferred Charges, LT",7.9,6.4,7.1,20.8,19.1,-
Other Long-Term Assets,"2,187.90","1,987.50","3,661.00","4,079.60","3,955.90","3,515.70"
Total Assets,"30,055.60","31,590.90","28,920.60","29,234.20","28,112.80","26,606.30"
,,,,,,
Accounts Payable,778.7,848.9,651.2,605.9,613.5,-
Accrued Exp.,"2,153.80","2,158.00","2,307.50","1,992.80","2,443.20",-
Short-term Borrowings,363.6,317.5,298.7,305.2,396.4,-
