Year,2013,2014,2015,2016,2017,2018
  Return on Assets %,4.50%,3.70%,2.40%,1.90%,0.80%,0.90%
  Return on Capital %,6.30%,5.30%,3.30%,2.60%,1.10%,1.30%
  Return on Equity %,17.60%,17.10%,12.00%,6.80%,1.80%,8.10%
  Return on Common Equity %,19.50%,18.80%,14.20%,6.90%,1.90%,8.30%
  Gross Margin %,30.50%,30.40%,31.20%,36.80%,31.50%,29.80%
  SG&A Margin %,13.50%,13.00%,16.60%,18.60%,18.80%,16.60%
  EBITDA Margin %,19.10%,15.80%,13.20%,16.40%,9.70%,9.70%
  EBITA Margin %,17.30%,13.90%,11.10%,13.00%,6.30%,6.70%
  EBIT Margin %,17.20%,13.90%,11.10%,13.00%,6.20%,6.70%
  Earnings from Cont. Ops Margin %,19.40%,18.30%,15.50%,12.10%,3.60%,16.00%
  Net Income Margin %,14.90%,14.20%,14.80%,11.60%,3.60%,15.80%
  Net Income Avail. for Common Margin %,14.90%,14.20%,14.80%,11.60%,3.60%,15.80%
  Normalized Net Income Margin %,9.70%,6.90%,9.20%,10.60%,7.30%,5.50%
  Levered Free Cash Flow Margin %,-3.00%,-14.90%,-6.80%,0.40%,29.80%,8.80%
  Unlevered Free Cash Flow Margin %,-2.40%,-14.30%,-5.90%,2.50%,31.80%,10.90%
  Total Asset Turnover,0.4,0.4,0.3,0.2,0.2,0.2
  Fixed Asset Turnover,3.5,4.1,3.7,2.5,2.3,2.5
  Accounts Receivable Turnover,9.6,9.2,5.5,2.8,2.5,1.4
  Inventory Turnover,1,0.9,0.7,0.4,0.4,0.6
  Current Ratio,1.9x,2.0x,1.9x,1.8x,1.6x,1.7x
  Quick Ratio,0.8x,0.7x,0.5x,0.6x,0.5x,1.0x
  Cash from Ops. to Curr. Liab.,0.1x,0.0x,0.0x,0.0x,0.1x,0.0x
  Avg. Days Sales Out.,38.2,39.5,65.9,128.8,148,258
  Avg. Days Inventory Out.,353.3,388.3,552.6,-,-,-
  Avg. Days Payable Out.,30.7,27.2,38.2,65,78.4,-
  Avg. Cash Conversion Cycle,360.8,400.6,580.2,953,910.3,-
  Total Debt/Equity,54.50%,52.30%,71.80%,75.90%,68.50%,65.10%
  Total Debt/Capital,35.30%,34.30%,41.80%,43.10%,40.60%,39.40%
  LT Debt/Equity,48.10%,37.90%,62.10%,58.50%,50.80%,52.40%
  LT Debt/Capital,31.10%,24.90%,36.10%,33.30%,30.20%,31.70%
  Total Liabilities/Total Assets,54.50%,53.40%,58.80%,57.80%,57.50%,56.40%
,,,,,,
  EBIT / Interest Exp.,17.1,13.7,7.4,3.9,2,2
  EBITDA / Interest Exp.,19,15.7,8.8,5,3.1,2.9
  (EBITDA-CAPEX) / Interest Exp.,11.5,11.3,1.3,2.9,1,1.6
  Total Debt/EBITDA,3.1,3.7,6.3,8.4,14.1,13
  Net Debt/EBITDA,0.7,0.8,4.8,6.5,10.1,9.4
  Total Debt/(EBITDA-CAPEX),5.2,5.1,41.9,14.5,43.6,23.1
  Net Debt/(EBITDA-CAPEX),1.1,1.1,32.3,11.2,31.3,16.7
,,,,,,
  Altman Z Score,2.1,2.09,1.81,1.48,1.47,1.59
,,,,,,
Growth Over Prior Year,,,,,,
  Total Revenue 1Y,-11.30%,7.30%,-22.50%,-34.30%,-11.90%,0.00%
  Gross Profit 1Y,-15.30%,6.90%,-20.40%,-22.60%,-24.40%,-5.50%
  EBITDA 1Y,-16.10%,-11.20%,-35.30%,-18.40%,-47.80%,0.00%
  EBITA 1Y,-18.60%,-13.80%,-37.80%,-23.00%,-57.70%,6.70%
  EBIT 1Y,-18.60%,-13.80%,-37.80%,-23.20%,-57.90%,7.60%
  Earnings from Cont. Ops. 1Y,-13.00%,1.20%,-34.30%,-48.40%,-73.60%,340.30%
  Net Income 1Y,-17.50%,2.10%,-19.10%,-48.60%,-72.40%,335.60%
  Normalized Net Income 1Y,-21.20%,-22.80%,2.10%,-23.90%,-39.20%,-25.10%
  Diluted EPS before Extra 1Y,-18.10%,1.60%,-18.80%,-48.60%,-72.50%,338.10%
,,,,,,
  Accounts Receivable 1Y,2.00%,19.90%,37.20%,21.60%,-14.90%,179.00%
  Inventory 1Y,17.40%,18.70%,0.80%,-6.80%,-12.40%,-37.20%
